Variable,Label
QB4_1,QB4_n. Instrument for online payment 1
QB4_2,QB4_n. Instrument for online payment 2
QB4_3,QB4_n. Instrument for online payment 3
QB4_4,QB4_n. Instrument for online payment 4
QB4_5,QB4_n. Instrument for online payment 5
QB4_6,QB4_n. Instrument for online payment 6
QB4_7,QB4_n. Instrument for online payment 7
QB4_8,QB4_n. Instrument for online payment 8
QC1_1,QC1_1. Paid rent or mortgage
QC1_2,QC1_2. Paid utilities
QC1_3,QC1_3. Paid insurance
QC1_4,QC1_4. Paid telephone and internet bills
QC1_5,QC1_5. Paid taxes and public charges
QC1_6,QC1_6. Paid subscriptions
QC1_8,QC1_8. Paid tickets for transport
QC1_10,QC1_10. Paid back loans
QC2_1,QC2_1. Amount of rent or mortgage
QC3_1,QC3_1. Instrument rent or mortgage?
QC5_1,QC5_1. Rent or mortgage frequency
QC2_2,QC2_2. Amount of utilities payment
QC3_2,QC3_2. Instrument utilities payment
QC5_2,QC5_2. Utilities payment frequency
QC2_3,QC2_3. Amount of insurance
QC3_3,QC3_3. Instrument insurance
QC5_3,QC5_3. Insurance frequency
QC6_3,QC6_3. Insurance on behalf of who
QC2_4,QC2_4. Amount of telephone and internet payment
QC3_4,QC3_4. Instrument telephone and internet bills
QC5_4,QC5_4. Telephone and internet bills frequency
QC6_4,QC6_4. Telephone and internet bills on behalf of who
QC2_5,QC2_5. Amount of taxes and public charges
QC3_5,QC3_5. Instrument taxes and public charges
QC5_5,QC5_5. Taxes and public charges frequency
QC2_6,QC2_6. Amount of subscriptions payment
QC3_6,QC3_6. Instrument subscriptions payment
QC5_6,QC5_6. Subscriptions frequency
QC2_8,QC2_8. Amount of transport tickets payment
QC3_8,QC3_8. Instrument transport tickets payment
QC5_8,QC5_8. Transport tickets  payment frequency
QC6_8,QC6_8. Transport tickets payment on behalf of who
QC2_10,QC2_10. Amount of loan repayment
QC3_10,QC3_10. Instrument loan repayment
QC5_10,QC5_10. Loan repayment frequency
QC6_10,QC6_10. Loan repayment on behalf of who
QQ1A_1,QQ1A_1. Has a payment account
QQ1A_2,QQ1A_2. Has a credit/debit card
QQ1A_3,QQ1A_3. Has crypto assets
QQ1A_4,"QQ1A_4. Has not payment accout, cards, or crypto assets"
QQ1A_5,"QQ1A_5. Don't know if has payment accout, cards, or crypt"
QQ1B,QQ1B. Crypto assets use
QQ1D,QQ1D. Access to instant payments
QQ11D,QQ11D. Instant payments fees
QQ2,QQ2. Easiness to withdraw money
QQ11A,QQ11A. ATM fees
QQ3,QQ3. Payment preference
QQ3A,QQ3A. Cashless payment preference
QQ13A_1,QQ13A_1. Cash advantages; acceptance
QQ13A_2,QQ13A_2. Cash advantages: faster
QQ13A_3,QQ13A_3. Cash advantages: privacy
QQ13A_4,QQ13A_4. Cash advantages: easier
QQ13A_5,QQ13A_5. Cash advantages: safer
QQ13A_6,QQ13A_6. Cash advantages: immediatly settled
QQ13A_7,QQ13A_7. Cash advantages: aware of spending
QQ13A_8,QQ13A_8. Cash advantages: other
QQ13A_9,QQ13A_9. Cash advantages: do not use cash
QQ13A_10,QQ13A_10. Cash advantages: none
QQ13A_11,QQ13A_11. Cash advantages: don't know
QQ13B_1,QQ13B_1. Card advantages: acceptance
QQ13B_2,QQ13B_2. Card advantages: faster
QQ13B_3,QQ13B_3. Card advantages: easier
QQ13B_4,QQ13B_4. Card advantages: safer
QQ13B_5,QQ13B_5. Card advantages: not worry about carrying cash
QQ13B_6,QQ13B_6. Card advantages: aware of spending
QQ13B_7,QQ13B_7. Card advantages: other
QQ13B_8,QQ13B_8. Card advantages: none
QQ13B_9,QQ13B_9. Card advantages: do not use card
QQ13B_10,QQ13B_10. Card advantages: don't know
QQ19A,QQ19A. COVID-19: Use of cash
Q19C_1,Q19C_1. COVID-19 less cash: difficult to withdraw
Q19C_2,Q19C_2. COVID-19 less cash: fear of virus
Q19C_3,Q19C_3. COVID-19 less cash: cash not accepted
Q19C_4,Q19C_4. COVID-19 less cash: advice not to use cash
Q19C_5,Q19C_5. COVID-19 less cash: government recommendations
Q19C_6,Q19C_6. COVID-19 less cash: electronic payment made more convenient
Q19C_7,Q19C_7. COVID-19 less cash: discovered new means
Q19C_8,Q19C_8. COVID-19 less cash: other reason
Q19C_9,Q19C_9. COVID-19 less cash: don't know
QQ19B,QQ19B. COVID-19: use of online payments
QQ4C,QQ4C. Importance of cash
QQ8,QQ8. Share of income in cash
QQ9,QQ9. Keeps cash reserves
QQ10,QQ10. Value of cash reserves
URBAN,URBAN. Urban or rural area
D13a,D13a. Has landline phone
D13B,D13b. Has a mobile phone
Gross_weigh,Final combined pan european grossing weight
D3_AT,Region Austria
D3_BE,Region Belgium
D3_EE,Region Estonia
D3_ES,Region Spain
D3_FI,Region Finland
D3_FR,Region France
D3_IE,Region Ireland
D3_IT,Region Italy
D3_LT,Region Lithuania
D3_LU,Region Luxembourg
D3_LV,Region Latvia
D3_PT,Region Portugal
D3_SI,Region Slovenia
D3_SK,Region Slovakia
D3_CY,Region Cyprus
D3_MT,Region Malta
D3_GR,Region Greece
